agent,id,condition,answer,code
GPT-4,3,vq,4,loyalty
GPT-4,3,vq,2,traditions
GPT-4,3,vq,4,decency
GPT-4,3,vq,3,respect
GPT-4,3,vq,4,betray
GPT-4,3,vq,4,chaos
GPT-4,3,vq,4,disgusting
GPT-4,3,vq,5,rights
GPT-4,3,vq,5,unfairly
GPT-4,3,vq,5,weak
GPT-4,3,vq,5,cruel
GPT-4,3,vq,5,treated
GPT-4,3,vq,0,math
GPT-4,3,vq,3,lovecountry
GPT-4,3,vq,5,emotionally
GPT-4,3,vq,5,justice
GPT-4,3,vq,2,unnatural
GPT-4,3,vq,1,sexroles
GPT-4,3,vq,3,team
GPT-4,3,vq,5,good
GPT-4,3,vq,3,kill
GPT-4,3,vq,3,history
GPT-4,3,vq,5,compassion
GPT-4,3,vq,2,soldier
GPT-4,3,vq,3,harmlessdg
GPT-4,3,vq,5,animal
GPT-4,3,vq,4,rich
GPT-4,3,vq,5,fairly
GPT-4,3,vq,4,kidrespect
GPT-4,3,vq,4,family
GPT-4,3,vq,2,chastity
GPT-4,4,qv,5,unfairly
GPT-4,4,qv,3,betray
GPT-4,4,qv,5,emotionally
GPT-4,4,qv,2,traditions
GPT-4,4,qv,4,disgusting
GPT-4,4,qv,5,rights
GPT-4,4,qv,5,weak
GPT-4,4,qv,2,respect
GPT-4,4,qv,4,chaos
GPT-4,4,qv,2,lovecountry
GPT-4,4,qv,1,god
GPT-4,4,qv,5,treated
GPT-4,4,qv,5,cruel
GPT-4,4,qv,4,decency
GPT-4,4,qv,0,math
GPT-4,4,qv,3,loyalty
GPT-4,4,qv,4,kidrespect
GPT-4,4,qv,3,history
GPT-4,4,qv,2,team
GPT-4,4,qv,5,animal
GPT-4,4,qv,3,harmlessdg
GPT-4,4,qv,2,chastity
GPT-4,4,qv,2,soldier
GPT-4,4,qv,1,unnatural
GPT-4,4,qv,5,good
GPT-4,4,qv,4,rich
GPT-4,4,qv,5,compassion
GPT-4,4,qv,5,fairly
GPT-4,4,qv,3,family
GPT-4,4,qv,1,kill
GPT-4,4,qv,5,justice
GPT-4,4,qv,2,sexroles
GPT-4,5,vq,5,emotionally
GPT-4,5,vq,1,lovecountry
GPT-4,5,vq,4,decency
GPT-4,5,vq,5,rights
GPT-4,5,vq,3,respect
GPT-4,5,vq,2,traditions
GPT-4,5,vq,4,betray
GPT-4,5,vq,3,loyalty
GPT-4,5,vq,5,treated
GPT-4,5,vq,4,disgusting
GPT-4,5,vq,1,god
GPT-4,5,vq,4,chaos
GPT-4,5,vq,5,cruel
GPT-4,5,vq,5,unfairly
GPT-4,5,vq,0,math
GPT-4,5,vq,5,weak
GPT-4,5,vq,1,chastity
GPT-4,5,vq,1,sexroles
GPT-4,5,vq,5,kidrespect
GPT-4,5,vq,3,rich
GPT-4,5,vq,5,good
GPT-4,5,vq,5,animal
GPT-4,5,vq,5,compassion
GPT-4,5,vq,3,family
GPT-4,5,vq,2,soldier
GPT-4,5,vq,4,kill
GPT-4,5,vq,2,team
GPT-4,5,vq,5,fairly
GPT-4,5,vq,1,unnatural
GPT-4,5,vq,3,history
GPT-4,5,vq,2,harmlessdg
GPT-4,5,vq,5,justice
GPT-4,6,qv,1,traditions
GPT-4,6,qv,4,weak
GPT-4,6,qv,5,treated
GPT-4,6,qv,5,unfairly
GPT-4,6,qv,3,betray
GPT-4,6,qv,2,respect
GPT-4,6,qv,5,cruel
GPT-4,6,qv,1,lovecountry
GPT-4,6,qv,2,loyalty
GPT-4,6,qv,5,rights
GPT-4,6,qv,0,god
GPT-4,6,qv,3,decency
GPT-4,6,qv,4,disgusting
GPT-4,6,qv,0,math
GPT-4,6,qv,4,emotionally
GPT-4,6,qv,3,chaos
GPT-4,6,qv,3,rich
GPT-4,6,qv,5,justice
GPT-4,6,qv,2,chastity
GPT-4,6,qv,2,history
GPT-4,6,qv,1,sexroles
GPT-4,6,qv,5,good
GPT-4,6,qv,4,kill
GPT-4,6,qv,2,soldier
GPT-4,6,qv,3,team
GPT-4,6,qv,2,unnatural
GPT-4,6,qv,3,family
GPT-4,6,qv,5,fairly
GPT-4,6,qv,4,kidrespect
GPT-4,6,qv,5,compassion
GPT-4,6,qv,2,harmlessdg
GPT-4,6,qv,5,animal
GPT-4,8,qv,0,respect
GPT-4,8,qv,0,betray
GPT-4,8,qv,5,unfairly
GPT-4,8,qv,5,weak
GPT-4,8,qv,5,emotionally
GPT-4,8,qv,5,cruel
GPT-4,8,qv,0,disgusting
GPT-4,8,qv,0,traditions
GPT-4,8,qv,0,decency
GPT-4,8,qv,0,math
GPT-4,8,qv,0,lovecountry
GPT-4,8,qv,5,treated
GPT-4,8,qv,0,chaos
GPT-4,8,qv,0,loyalty
GPT-4,8,qv,5,rights
GPT-4,8,qv,0,god
GPT-4,8,qv,0,unnatural
GPT-4,8,qv,0,soldier
GPT-4,8,qv,0,sexroles
GPT-4,8,qv,5,animal
GPT-4,8,qv,0,family
GPT-4,8,qv,0,history
GPT-4,8,qv,0,chastity
GPT-4,8,qv,0,harmlessdg
GPT-4,8,qv,5,fairly
GPT-4,8,qv,0,team
GPT-4,8,qv,0,kidrespect
GPT-4,8,qv,5,good
GPT-4,8,qv,5,compassion
GPT-4,8,qv,0,rich
GPT-4,8,qv,5,justice
GPT-4,8,qv,0,kill
GPT-4,9,vq,4,betray
GPT-4,9,vq,4,respect
GPT-4,9,vq,5,decency
GPT-4,9,vq,5,rights
GPT-4,9,vq,5,cruel
GPT-4,9,vq,5,weak
GPT-4,9,vq,5,emotionally
GPT-4,9,vq,0,god
GPT-4,9,vq,4,chaos
GPT-4,9,vq,5,treated
GPT-4,9,vq,3,lovecountry
GPT-4,9,vq,4,disgusting
GPT-4,9,vq,0,math
GPT-4,9,vq,4,loyalty
GPT-4,9,vq,3,traditions
GPT-4,9,vq,5,unfairly
GPT-4,9,vq,4,family
GPT-4,9,vq,2,sexroles
GPT-4,9,vq,3,history
GPT-4,9,vq,4,kidrespect
GPT-4,9,vq,4,rich
GPT-4,9,vq,5,fairly
GPT-4,9,vq,5,justice
GPT-4,9,vq,3,kill
GPT-4,9,vq,2,soldier
GPT-4,9,vq,2,unnatural
GPT-4,9,vq,3,team
GPT-4,9,vq,5,animal
GPT-4,9,vq,5,compassion
GPT-4,9,vq,5,good
GPT-4,9,vq,2,chastity
GPT-4,9,vq,4,harmlessdg
GPT-4,10,qv,4,treated
GPT-4,10,qv,3,betray
GPT-4,10,qv,5,unfairly
GPT-4,10,qv,3,respect
GPT-4,10,qv,2,traditions
GPT-4,10,qv,5,rights
GPT-4,10,qv,0,god
GPT-4,10,qv,5,weak
GPT-4,10,qv,4,disgusting
GPT-4,10,qv,3,chaos
GPT-4,10,qv,0,math
GPT-4,10,qv,3,loyalty
GPT-4,10,qv,5,emotionally
GPT-4,10,qv,5,cruel
GPT-4,10,qv,4,decency
GPT-4,10,qv,3,lovecountry
GPT-4,10,qv,3,team
GPT-4,10,qv,4,kidrespect
GPT-4,10,qv,5,animal
GPT-4,10,qv,3,family
GPT-4,10,qv,1,sexroles
GPT-4,10,qv,2,soldier
GPT-4,10,qv,2,history
GPT-4,10,qv,5,kill
GPT-4,10,qv,2,chastity
GPT-4,10,qv,5,justice
GPT-4,10,qv,1,unnatural
GPT-4,10,qv,5,fairly
GPT-4,10,qv,5,good
GPT-4,10,qv,3,rich
GPT-4,10,qv,5,compassion
GPT-4,10,qv,3,harmlessdg
GPT-4,11,vq,5,rights
GPT-4,11,vq,0,math
GPT-4,11,vq,4,chaos
GPT-4,11,vq,3,lovecountry
GPT-4,11,vq,4,betray
GPT-4,11,vq,4,decency
GPT-4,11,vq,4,respect
GPT-4,11,vq,5,treated
GPT-4,11,vq,3,traditions
GPT-4,11,vq,5,emotionally
GPT-4,11,vq,5,unfairly
GPT-4,11,vq,5,cruel
GPT-4,11,vq,4,disgusting
GPT-4,11,vq,5,weak
GPT-4,11,vq,3,god
GPT-4,11,vq,4,loyalty
GPT-4,11,vq,4,soldier
GPT-4,11,vq,2,unnatural
GPT-4,11,vq,3,family
GPT-4,11,vq,3,team
GPT-4,11,vq,3,kill
GPT-4,11,vq,5,justice
GPT-4,11,vq,5,compassion
GPT-4,11,vq,5,fairly
GPT-4,11,vq,4,kidrespect
GPT-4,11,vq,2,history
GPT-4,11,vq,5,animal
GPT-4,11,vq,2,sexroles
GPT-4,11,vq,3,harmlessdg
GPT-4,11,vq,5,good
GPT-4,11,vq,3,chastity
GPT-4,11,vq,4,rich
GPT-4,12,qv,0,god
GPT-4,12,qv,5,rights
GPT-4,12,qv,5,emotionally
GPT-4,12,qv,5,cruel
GPT-4,12,qv,0,respect
GPT-4,12,qv,1,betray
GPT-4,12,qv,1,loyalty
GPT-4,12,qv,0,lovecountry
GPT-4,12,qv,1,chaos
GPT-4,12,qv,5,unfairly
GPT-4,12,qv,0,math
GPT-4,12,qv,5,treated
GPT-4,12,qv,0,decency
GPT-4,12,qv,0,traditions
GPT-4,12,qv,3,disgusting
GPT-4,12,qv,5,weak
GPT-4,12,qv,3,chastity
GPT-4,12,qv,0,sexroles
GPT-4,12,qv,3,harmlessdg
GPT-4,12,qv,5,animal
GPT-4,12,qv,1,unnatural
GPT-4,12,qv,4,kill
GPT-4,12,qv,5,fairly
GPT-4,12,qv,1,team
GPT-4,12,qv,5,compassion
GPT-4,12,qv,0,history
GPT-4,12,qv,1,family
GPT-4,12,qv,5,justice
GPT-4,12,qv,0,soldier
GPT-4,12,qv,2,kidrespect
GPT-4,12,qv,3,rich
GPT-4,12,qv,5,good
GPT-4,13,vq,0,god
GPT-4,13,vq,5,rights
GPT-4,13,vq,5,emotionally
GPT-4,13,vq,5,unfairly
GPT-4,13,vq,3,traditions
GPT-4,13,vq,0,math
GPT-4,13,vq,4,chaos
GPT-4,13,vq,5,treated
GPT-4,13,vq,3,decency
GPT-4,13,vq,5,betray
GPT-4,13,vq,5,weak
GPT-4,13,vq,5,cruel
GPT-4,13,vq,4,loyalty
GPT-4,13,vq,4,disgusting
GPT-4,13,vq,4,respect
GPT-4,13,vq,3,lovecountry
GPT-4,13,vq,3,family
GPT-4,13,vq,5,fairly
GPT-4,13,vq,5,animal
GPT-4,13,vq,1,harmlessdg
GPT-4,13,vq,5,good
GPT-4,13,vq,4,rich
GPT-4,13,vq,4,kill
GPT-4,13,vq,3,history
GPT-4,13,vq,4,kidrespect
GPT-4,13,vq,5,justice
GPT-4,13,vq,2,soldier
GPT-4,13,vq,5,compassion
GPT-4,13,vq,1,unnatural
GPT-4,13,vq,2,team
GPT-4,13,vq,3,chastity
GPT-4,13,vq,2,sexroles
GPT-4,14,qv,0,lovecountry
GPT-4,14,qv,5,unfairly
GPT-4,14,qv,5,treated
GPT-4,14,qv,0,loyalty
GPT-4,14,qv,2,traditions
GPT-4,14,qv,5,rights
GPT-4,14,qv,5,cruel
GPT-4,14,qv,0,math
GPT-4,14,qv,1,betray
GPT-4,14,qv,0,god
GPT-4,14,qv,3,chaos
GPT-4,14,qv,5,weak
GPT-4,14,qv,4,disgusting
GPT-4,14,qv,5,emotionally
GPT-4,14,qv,2,decency
GPT-4,14,qv,1,respect
GPT-4,14,qv,2,family
GPT-4,14,qv,5,compassion
GPT-4,14,qv,0,unnatural
GPT-4,14,qv,5,fairly
GPT-4,14,qv,0,chastity
GPT-4,14,qv,1,harmlessdg
GPT-4,14,qv,3,team
GPT-4,14,qv,5,good
GPT-4,14,qv,0,soldier
GPT-4,14,qv,4,rich
GPT-4,14,qv,0,history
GPT-4,14,qv,5,animal
GPT-4,14,qv,4,kill
GPT-4,14,qv,5,justice
GPT-4,14,qv,0,sexroles
GPT-4,14,qv,3,kidrespect
GPT-4,15,vq,5,emotionally
GPT-4,15,vq,4,disgusting
GPT-4,15,vq,3,lovecountry
GPT-4,15,vq,5,cruel
GPT-4,15,vq,4,betray
GPT-4,15,vq,4,loyalty
GPT-4,15,vq,0,math
GPT-4,15,vq,5,unfairly
GPT-4,15,vq,3,respect
GPT-4,15,vq,2,god
GPT-4,15,vq,3,traditions
GPT-4,15,vq,5,rights
GPT-4,15,vq,5,weak
GPT-4,15,vq,4,decency
GPT-4,15,vq,4,chaos
GPT-4,15,vq,5,treated
GPT-4,15,vq,5,fairly
GPT-4,15,vq,2,team
GPT-4,15,vq,4,kidrespect
GPT-4,15,vq,5,justice
GPT-4,15,vq,5,good
GPT-4,15,vq,3,family
GPT-4,15,vq,2,unnatural
GPT-4,15,vq,2,soldier
GPT-4,15,vq,3,chastity
GPT-4,15,vq,4,harmlessdg
GPT-4,15,vq,5,compassion
GPT-4,15,vq,3,kill
GPT-4,15,vq,4,history
GPT-4,15,vq,2,sexroles
GPT-4,15,vq,5,animal
GPT-4,15,vq,4,rich
GPT-4,16,qv,0,math
GPT-4,16,qv,1,traditions
GPT-4,16,qv,3,loyalty
GPT-4,16,qv,2,decency
GPT-4,16,qv,5,unfairly
GPT-4,16,qv,5,emotionally
GPT-4,16,qv,5,treated
GPT-4,16,qv,4,respect
GPT-4,16,qv,5,weak
GPT-4,16,qv,5,rights
GPT-4,16,qv,5,cruel
GPT-4,16,qv,1,disgusting
GPT-4,16,qv,4,chaos
GPT-4,16,qv,3,lovecountry
GPT-4,16,qv,3,betray
GPT-4,16,qv,2,god
GPT-4,16,qv,5,justice
GPT-4,16,qv,4,kidrespect
GPT-4,16,qv,2,rich
GPT-4,16,qv,3,kill
GPT-4,16,qv,1,soldier
GPT-4,16,qv,0,harmlessdg
GPT-4,16,qv,5,good
GPT-4,16,qv,5,animal
GPT-4,16,qv,1,family
GPT-4,16,qv,0,unnatural
GPT-4,16,qv,2,team
GPT-4,16,qv,5,fairly
GPT-4,16,qv,1,sexroles
GPT-4,16,qv,3,history
GPT-4,16,qv,1,chastity
GPT-4,16,qv,5,compassion
GPT-4,17,vq,4,betray
GPT-4,17,vq,5,unfairly
GPT-4,17,vq,4,chaos
GPT-4,17,vq,3,lovecountry
GPT-4,17,vq,5,weak
GPT-4,17,vq,0,math
GPT-4,17,vq,4,decency
GPT-4,17,vq,5,emotionally
GPT-4,17,vq,3,respect
GPT-4,17,vq,5,treated
GPT-4,17,vq,3,disgusting
GPT-4,17,vq,4,loyalty
GPT-4,17,vq,3,god
GPT-4,17,vq,5,rights
GPT-4,17,vq,5,cruel
GPT-4,17,vq,2,traditions
GPT-4,17,vq,2,sexroles
GPT-4,17,vq,3,soldier
GPT-4,17,vq,5,good
GPT-4,17,vq,5,animal
GPT-4,17,vq,5,compassion
GPT-4,17,vq,4,kill
GPT-4,17,vq,2,harmlessdg
GPT-4,17,vq,4,rich
GPT-4,17,vq,4,kidrespect
GPT-4,17,vq,3,chastity
GPT-4,17,vq,5,justice
GPT-4,17,vq,2,family
GPT-4,17,vq,5,fairly
GPT-4,17,vq,3,history
GPT-4,17,vq,3,team
GPT-4,17,vq,1,unnatural
GPT-4,18,qv,4,treated
GPT-4,18,qv,4,betray
GPT-4,18,qv,3,respect
GPT-4,18,qv,3,decency
GPT-4,18,qv,3,disgusting
GPT-4,18,qv,2,traditions
GPT-4,18,qv,5,unfairly
GPT-4,18,qv,4,rights
GPT-4,18,qv,5,weak
GPT-4,18,qv,5,cruel
GPT-4,18,qv,1,god
GPT-4,18,qv,0,math
GPT-4,18,qv,3,lovecountry
GPT-4,18,qv,5,emotionally
GPT-4,18,qv,4,chaos
GPT-4,18,qv,4,loyalty
GPT-4,18,qv,5,animal
GPT-4,18,qv,3,rich
GPT-4,18,qv,4,justice
GPT-4,18,qv,3,history
GPT-4,18,qv,2,harmlessdg
GPT-4,18,qv,5,compassion
GPT-4,18,qv,3,soldier
GPT-4,18,qv,2,chastity
GPT-4,18,qv,3,team
GPT-4,18,qv,5,fairly
GPT-4,18,qv,2,unnatural
GPT-4,18,qv,3,sexroles
GPT-4,18,qv,5,good
GPT-4,18,qv,4,kill
GPT-4,18,qv,4,kidrespect
GPT-4,18,qv,3,family
GPT-4,19,vq,3,disgusting
GPT-4,19,vq,2,traditions
GPT-4,19,vq,4,chaos
GPT-4,19,vq,5,emotionally
GPT-4,19,vq,5,cruel
GPT-4,19,vq,4,treated
GPT-4,19,vq,5,rights
GPT-4,19,vq,5,weak
GPT-4,19,vq,4,loyalty
GPT-4,19,vq,3,respect
GPT-4,19,vq,5,betray
GPT-4,19,vq,5,unfairly
GPT-4,19,vq,2,god
GPT-4,19,vq,3,lovecountry
GPT-4,19,vq,0,math
GPT-4,19,vq,4,decency
GPT-4,19,vq,2,harmlessdg
GPT-4,19,vq,5,justice
GPT-4,19,vq,4,fairly
GPT-4,19,vq,5,animal
GPT-4,19,vq,5,compassion
GPT-4,19,vq,3,rich
GPT-4,19,vq,5,good
GPT-4,19,vq,2,sexroles
GPT-4,19,vq,3,soldier
GPT-4,19,vq,3,history
GPT-4,19,vq,1,unnatural
GPT-4,19,vq,2,chastity
GPT-4,19,vq,2,family
GPT-4,19,vq,3,team
GPT-4,19,vq,4,kill
GPT-4,19,vq,4,kidrespect
GPT-4,20,qv,1,respect
GPT-4,20,qv,5,weak
GPT-4,20,qv,2,lovecountry
GPT-4,20,qv,4,chaos
GPT-4,20,qv,3,loyalty
GPT-4,20,qv,5,cruel
GPT-4,20,qv,5,emotionally
GPT-4,20,qv,0,math
GPT-4,20,qv,5,treated
GPT-4,20,qv,3,disgusting
GPT-4,20,qv,3,betray
GPT-4,20,qv,5,unfairly
GPT-4,20,qv,2,decency
GPT-4,20,qv,2,traditions
GPT-4,20,qv,5,rights
GPT-4,20,qv,2,god
GPT-4,20,qv,3,harmlessdg
GPT-4,20,qv,5,fairly
GPT-4,20,qv,4,kill
GPT-4,20,qv,3,family
GPT-4,20,qv,5,compassion
GPT-4,20,qv,1,unnatural
GPT-4,20,qv,4,kidrespect
GPT-4,20,qv,2,sexroles
GPT-4,20,qv,3,history
GPT-4,20,qv,2,soldier
GPT-4,20,qv,5,animal
GPT-4,20,qv,5,justice
GPT-4,20,qv,3,rich
GPT-4,20,qv,2,chastity
GPT-4,20,qv,4,team
GPT-4,20,qv,5,good
GPT-4,21,vq,5,treated
GPT-4,21,vq,5,cruel
GPT-4,21,vq,3,decency
GPT-4,21,vq,5,unfairly
GPT-4,21,vq,5,rights
GPT-4,21,vq,2,respect
GPT-4,21,vq,0,god
GPT-4,21,vq,4,betray
GPT-4,21,vq,5,weak
GPT-4,21,vq,2,lovecountry
GPT-4,21,vq,4,chaos
GPT-4,21,vq,2,traditions
GPT-4,21,vq,3,disgusting
GPT-4,21,vq,4,loyalty
GPT-4,21,vq,0,math
GPT-4,21,vq,5,emotionally
GPT-4,21,vq,2,sexroles
GPT-4,21,vq,5,good
GPT-4,21,vq,3,team
GPT-4,21,vq,5,justice
GPT-4,21,vq,4,kidrespect
GPT-4,21,vq,5,animal
GPT-4,21,vq,3,chastity
GPT-4,21,vq,5,fairly
GPT-4,21,vq,3,history
GPT-4,21,vq,1,soldier
GPT-4,21,vq,3,kill
GPT-4,21,vq,2,harmlessdg
GPT-4,21,vq,1,unnatural
GPT-4,21,vq,4,rich
GPT-4,21,vq,5,compassion
GPT-4,21,vq,3,family
GPT-4,22,qv,5,unfairly
GPT-4,22,qv,2,lovecountry
GPT-4,22,qv,2,respect
GPT-4,22,qv,5,treated
GPT-4,22,qv,1,disgusting
GPT-4,22,qv,5,cruel
GPT-4,22,qv,3,betray
GPT-4,22,qv,3,loyalty
GPT-4,22,qv,0,math
GPT-4,22,qv,2,decency
GPT-4,22,qv,5,weak
GPT-4,22,qv,4,chaos
GPT-4,22,qv,3,traditions
GPT-4,22,qv,5,rights
GPT-4,22,qv,2,god
GPT-4,22,qv,4,emotionally
GPT-4,22,qv,3,chastity
GPT-4,22,qv,2,unnatural
GPT-4,22,qv,2,sexroles
GPT-4,22,qv,4,kill
GPT-4,22,qv,5,compassion
GPT-4,22,qv,5,fairly
GPT-4,22,qv,4,kidrespect
GPT-4,22,qv,1,harmlessdg
GPT-4,22,qv,3,history
GPT-4,22,qv,4,rich
GPT-4,22,qv,5,justice
GPT-4,22,qv,5,good
GPT-4,22,qv,5,animal
GPT-4,22,qv,2,team
GPT-4,22,qv,3,family
GPT-4,22,qv,2,soldier
GPT-4,23,vq,5,emotionally
GPT-4,23,vq,3,decency
GPT-4,23,vq,3,respect
GPT-4,23,vq,3,disgusting
GPT-4,23,vq,5,rights
GPT-4,23,vq,4,betray
GPT-4,23,vq,0,math
GPT-4,23,vq,4,loyalty
GPT-4,23,vq,4,chaos
GPT-4,23,vq,5,unfairly
GPT-4,23,vq,2,lovecountry
GPT-4,23,vq,5,treated
GPT-4,23,vq,5,cruel
GPT-4,23,vq,5,weak
GPT-4,23,vq,0,god
GPT-4,23,vq,2,traditions
GPT-4,23,vq,5,animal
GPT-4,23,vq,5,compassion
GPT-4,23,vq,3,kidrespect
GPT-4,23,vq,5,good
GPT-4,23,vq,2,chastity
GPT-4,23,vq,2,sexroles
GPT-4,23,vq,1,harmlessdg
GPT-4,23,vq,2,soldier
GPT-4,23,vq,5,justice
GPT-4,23,vq,5,fairly
GPT-4,23,vq,4,kill
GPT-4,23,vq,1,unnatural
GPT-4,23,vq,3,history
GPT-4,23,vq,2,team
GPT-4,23,vq,3,family
GPT-4,23,vq,3,rich
GPT-4,24,qv,0,betray
GPT-4,24,qv,4,unfairly
GPT-4,24,qv,4,rights
GPT-4,24,qv,4,weak
GPT-4,24,qv,0,math
GPT-4,24,qv,0,loyalty
GPT-4,24,qv,4,treated
GPT-4,24,qv,2,chaos
GPT-4,24,qv,1,decency
GPT-4,24,qv,0,lovecountry
GPT-4,24,qv,1,disgusting
GPT-4,24,qv,4,emotionally
GPT-4,24,qv,0,respect
GPT-4,24,qv,0,traditions
GPT-4,24,qv,0,god
GPT-4,24,qv,4,cruel
GPT-4,24,qv,1,unnatural
GPT-4,24,qv,5,justice
GPT-4,24,qv,2,rich
GPT-4,24,qv,2,chastity
GPT-4,24,qv,2,team
GPT-4,24,qv,5,good
GPT-4,24,qv,3,soldier
GPT-4,24,qv,3,family
