MFV Code;MFV Scenario;Foundation
614;You see a teenager getting home late and ignoring the time stipulated by the parents.;Authority
701;You see a former Brazilian politician saying publicly that he would never buy any Brazilian product.;Loyalty
702;You see a teacher publicly saying that she hopes another school to win the math contest;Loyalty
703;You see a man leaving the family business to work for the main competitor.;Loyalty
704;You see a Brazilian telling foreigner that Brazil is a bad world influence.;Loyalty
705;You see an employee joking with competitors about the bad results of his own company from last year.;Loyalty
706;You see the wife of a team coach selling cookies in order to raise money for the opposing team.;Loyalty
707;You see the class representative (spokesperson) saying on TV that the rival University is better;Loyalty
708;You see a coach celebrating with the opposing team players who have just won the match.;Loyalty
709;You see a team Capitan booing his own team during a match at his own university.;Loyalty
710;You see a Brazilian swimmer celebrating while his partner is being beaten by a Chinese opponent.;Loyalty
711;You see a mayor saying that the nearby city is a much better city.;Loyalty
712;You see a man secretly voting against his wife at the local beauty contest.;Loyalty
713;You see a Brazilian celebrity agreeing with a complaint of a foreign dictator about Brazil.;Loyalty
714;You see a former secretary of state publicly renounce his Brazilian citizenship.;Loyalty
715;You see a university president singing the anthem of a rival university at an academic event.;Loyalty
716;You see a Brazilian ambassador in Argentina joking about the stupidity of Brazilians.;Loyalty
801;You see a man having sex with a frozen chicken before he cooks it for dinner.;Purity
802;You see a homosexual in a gay bar offering sex to anyone who buys him a drink.;Purity
803;You see a man at a bar using his cell phone to watch people having sex with animals.;Purity
804;You see a drunk old man offering to have oral sex with anyone in the bar.;Purity
805;You see a man looking in the trash for discarded female underwear.;Purity
806;You see an employee of a morgue eating a pepperoni pizza over a corpse.;Purity
807;You see two first-degree cousins getting married in a formal ceremony.;Purity
808;You see a woman having sex with her deceased husband.;Purity
809;You see a single man buying a sex doll that looks like his secretary.;Purity
810;You see a story about an ancient tribe that eats the flesh of its deceased members.;Purity
